ID,page,time,look_tel,look_information
tik8bs59pbic4crmd6ngalvpigtoqhqv,679669,"2020-08-20 00:02:34",0,0
26312,770095,"2020-08-20 00:02:39",0,0
rdupg8ojmqqgb8qpop9niafvla5agras,769733,"2020-08-20 00:02:39",0,0
0ko54252rs28p5cijlf3ku0njkhrpkln,688828,"2020-08-20 00:02:42",0,0
d49j7pgpvr74pmgqidl1ak5qt8luurs5,770095,"2020-08-20 00:02:43",0,0
u6s99qa4ikb5u0190tnehpo6dvpghebv,769742,"2020-08-20 00:02:52",0,0
o2fhvrtpt9gj8ntcordg7h6bst3ubm4t,769751,"2020-08-20 00:02:54",0,0
60cr4in9n18jbvovdr9egji60esdet8a,769446,"2020-08-20 00:02:59",0,0
dqcpc30tsu3mq4ah7l8m3pn53kihlb78,763310,"2020-08-20 00:03:05",0,0
g64954m6vss5sosmd268cc52bjoggp6r,769752,"2020-08-20 00:03:12",0,0
965685b909i51ou8kjrfv6ipskl8s31t,769513,"2020-08-20 00:03:17",0,0
3bjkd3tmhvjnqcb8uge5ouvbggp895ej,691497,"2020-08-20 00:03:17",0,0
njj1qtb7p7jmttqlddci3fpvtvaqpfdl,769742,"2020-08-20 00:03:20",0,0
cua4u6j1ffoakuno0abeqtgqc3ivjai5,766748,"2020-08-20 00:03:21",0,0
1tis4kalrnnrsrj7lerlnqf21bj1a8rh,695442,"2020-08-20 00:03:23",0,0
mt4qidiio5l1pft7gvctm2c3v62h08vt,769742,"2020-08-20 00:03:26",0,0
31i689elg73db6c0pv2n9sbnu21vlg4m,612842,"2020-08-20 00:03:34",0,0
m4bg056t8tekght75lhcdsk40o1d60aa,769597,"2020-08-20 00:03:38",0,0
7mgt9iin8bbpejd00nhnbmmfa1vhvqik,769252,"2020-08-20 00:03:39",0,0
0dr9rgdfiure71blun4bd68di2gr9cau,716861,"2020-08-20 00:03:40",0,0
49nggh5smrkdcas4j2v7d7afkmuvhigp,717042,"2020-08-20 00:03:46",0,0
tj6rd48u9j039ngu4qrpknbbtdasmbil,769369,"2020-08-20 00:03:49",0,0
ftt6sohcfmk3n5fvhc08l8alnamb5pot,716768,"2020-08-20 00:03:51",0,0
t2tigpqbdbqob6k29hpk123k0cecm995,769485,"2020-08-20 00:04:04",0,0
c0k947ian30n0prb7hmm5q0ahlpalpg0,653894,"2020-08-20 00:04:07",0,0
6sle29fosr7mntgu7rbpvd1ceeesk2b8,548084,"2020-08-20 00:04:07",0,0
if91bcqb99cn6iomedfdqfg1738lvb4m,682854,"2020-08-20 00:04:11",0,0
cnobg01295n21rpkstrfaaagvepeegnu,667492,"2020-08-20 00:04:13",0,0
pcgr726313rv5g3mvk98rgsvvnq1bqs3,769629,"2020-08-20 00:04:16",0,0
n80msrmu6gdkjv57tg2nn761qdrpstin,722094,"2020-08-20 00:04:19",0,0
a2lodcm45c0dbtg4mj5qvdrjboe5fa9j,653894,"2020-08-20 00:04:24",0,0
boenv7fglmqg5dfek3161aonsg3fs4rr,661658,"2020-08-20 00:04:32",0,0
25dr8pq0to8i203po08fla9ugl7lr82u,419317,"2020-08-20 00:04:35",0,0
kdptoobck17bcoopalr1mu987heo1pmj,769446,"2020-08-20 00:04:39",0,0
1lpe2sndqdmus753ec46bmhj5afig54g,769382,"2020-08-20 00:04:45",0,0
9oc063lj8r411isvdf7lp99elf9o6o0q,768863,"2020-08-20 00:04:49",0,0
75vop45gqtlscthv4vhbci43cbteedjb,767509,"2020-08-20 00:04:51",0,0
58ftvi7b6mrpi7sg9obfmum3vlcat67d,769512,"2020-08-20 00:04:56",0,0
gqsr5a7ft6t3soo1kejonaist2m65rp9,769733,"2020-08-20 00:04:59",0,0
er3spu0mfbfq5rr12bu90dsqketih5oh,750390,"2020-08-20 00:05:01",0,0
mobdnu8ajseqnd9cha3299paaa644fq2,598035,"2020-08-20 00:05:03",0,0
k7aunkjk95pu1lo8kfqi46s8oob7elrg,760660,"2020-08-20 00:05:08",0,0
vj93i3e23u1ufblihb0gcu2f9o13vv30,579837,"2020-08-20 00:05:17",0,0
63nqk61qibihs0k9l96cois0d7qea9ip,769581,"2020-08-20 00:05:18",0,0
kurfgsv2k627dqhol00dsa7bqjrnile0,769684,"2020-08-20 00:05:20",0,0
u2eb1e0uf01ivlbsmt5mgue6ls7boprl,770128,"2020-08-20 00:05:23",0,0
vatjcoqpqgag5o3uv3htuelbh9586535,769360,"2020-08-20 00:05:23",0,0
2odvp1hr1uodcf0nac498tpm41c3r2j1,769395,"2020-08-20 00:05:29",0,0
6l8h82c2u70o65o2mj67skkqu1cojj8c,768699,"2020-08-20 00:05:31",0,0
uha6e051lts16e2jvq8qrgiu9kh10grq,604619,"2020-08-20 00:05:34",0,0
7bmhshkhrd2e7dtjq7ibkv5fk53pkvu0,769654,"2020-08-20 00:05:42",0,0
hr8h9m4jbqutn5mb4vk3kh7ogi4hhsrf,619052,"2020-08-20 00:05:45",0,0
