en,th,latitude,longitude
,สถานีศูนย์วัฒนธรรมแห่งประเทศไทย,13.768431900000001,100.571905
,สถานีศรีบูรพา,13.7697315,100.6606865
,สถานีประชาสงเคราะห์,13.7713155,100.5601626
,สถานีคลองบ้านม้า,13.7739935,100.6679285
,สถานีสัมมากร,13.7777864,100.6750095
,สถานีน้อมเกล้า,13.786737099999998,100.69117779999999
,สถานีตลิ่งชัน,13.788883600000002,100.44003719999999
,สถานีราษฎร์พัฒนา,13.7929055,100.7024002
,สถานีมีนพัฒนา,13.7991155,100.7147813
,สถานีเคหะรามคำแหง,13.8037207,100.72375059999999
,สถานีมีนบุรี,13.812389199999998,100.7367647
,สถานีทองหล่อ,13.7236141,100.57944300000001
,สถานีทองหล่อ 10,13.7325174,100.58200169999999
,สถานีแจ่มจันทร์,13.7380497,100.58395440000001
,สถานีเพชรบุรี-ทองหล่อ,13.744499900000001,100.5862237
,สถานีประดิษฐ์มนูธรรม / พระราม 9,13.7523481,100.59369609999999
,สถานีประชาอุทิศ,13.767911300000002,100.6027376
,สถานีศรีวรา,13.775747400000002,100.60681459999999
,สถานีลาดพร้าว 83/ฉลองรัช,13.786057699999999,100.6085396
,สถานีสังคมสงเคราะห์,13.791439000000002,100.6108863
,สถานีลาดพร้าว 87,13.7971071,100.6135041
,สถานีโยธินพัฒนา,13.810526699999999,100.61959809999999
,สถานีคลองลำเจียก,13.8211119,100.62572879999999
,สถานีเกษตร-นวมินทร์,13.827788199999999,100.62891009999998
,สถานีนวลจันทร์,13.840486199999999,100.63471870000001
,สถานีวัชรพล,13.850849199999999,100.64025409999999
,สถานีตลาดมีนบุรี,13.812532500000001,100.7282807
,สถานีเศรษฐบุตรบำเพ็ญ,13.812722400000002,100.7151939
,สถานีบางชัน,13.8127821,100.7017672
,สถานีมีนบุรี,13.814241199999998,100.735866
,สถานีนพรัตน์,13.815285300000001,100.6869861
,สถานีวงแหวนตะวันออก,13.8249172,100.6769453
,สถานีสินแพทย์,13.8341579,100.6673304
,สถานีคู้บอน,13.8404846,100.6591267
,สถานีรามอินทรา กม.6,13.8454049,100.64999240000002
,สถานีวัชรพล,13.848624,100.6440209
,สถานีมัยลาภ,13.855937099999998,100.6304122
,สถานีรามอินทรา กม.4,13.859663699999999,100.62349350000001
,สถานีศูนย์ราชการนนทบุรี,13.8599092,100.51558790000001
,สถานีแคราย,13.863750699999999,100.5201886
,สถานีลาดปลาเค้า,13.864805599999999,100.6139244
,สถานีรามอินทรา กม.3,13.8706809,100.6030166
,สถานีวัดพระศรีมหาธาตุ,13.8752506,100.5965958
,สถานีสนามบินน้ำ,13.8784997,100.51469540000001
,สถานีราชภัฏพระนคร,13.8791402,100.5906684
,สถานีหลักสี่,13.884901600000001,100.5804658
,สถานีสามัคคี,13.887998600000001,100.5110047
,สถานีทีโอที,13.888824300000001,100.57308979999999
,สถานีศูนย์ราชการเฉลิมพระเกียรติ,13.891890099999998,100.564501
,สถานีแจ้งวัฒนะ 14,13.894786100000001,100.5558125
,สถานีกรมชลประทาน,13.8989943,100.5069284
,สถานีศรีรัช,13.8992913,100.5432589
,สถานีเมืองทองธานี,13.902535999999998,100.5336251
,สถานีแจ้งวัฒนะ-ปากเกร็ด 28,13.905829,100.5227248
